labels_km,value,distance_centroid,price_1.0,price_2.0,price_3.0,price_4.0,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5.0,type_aa_other,type_asianfusion,type_bakeries,type_bars,type_bbq,type_breakfast_brunch,type_burgers,type_cafes,type_chicken_wings,type_chinese,type_cocktailbars,type_coffee,type_convenience,type_delis,type_desserts,type_diners,type_divebars,type_donuts,type_filipino,type_foodstands,type_foodtrucks,type_french,type_grocery,type_hotdogs,type_icecream,type_indpak,type_italian,type_japanese,type_juicebars,type_korean,type_latin,type_lounges,type_mediterranean,type_mexican,type_mideastern,type_newamerican,type_persian,type_pizza,type_ramen,type_salad,type_salvadoran,type_sandwiches,type_seafood,type_sportsbars,type_streetvendors,type_sushi,type_tacos,type_thai,type_tradamerican,type_vegan,type_vietnamese,type_wine_bars
56,385096.0,0.012487301184433154,187.0,42.0,0.0,0.0,0.0,2.0,13.0,31.0,17.0,33.0,48.0,50.0,28.0,7.0,19,0,8,0,2,2,10,2,6,6,0,3,2,0,1,0,1,3,24,0,2,0,0,20,6,0,2,6,2,0,2,0,2,44,0,2,0,6,0,2,14,6,4,0,0,0,0,16,4,0,0,0
57,395700.0,0.00960082631578947,127.0,43.0,4.0,2.0,0.0,0.0,3.0,14.0,11.0,43.0,29.0,48.0,24.0,4.0,20,1,5,5,5,3,5,0,0,7,0,4,6,4,2,0,2,8,0,0,0,0,2,20,0,0,3,5,0,0,2,0,3,34,0,0,0,4,0,0,4,4,5,0,0,0,0,7,6,0,0,0
58,426082.0,0.01276655212620028,100.0,18.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,21.0,30.0,37.0,9.0,2,2,3,1,0,2,4,1,0,5,0,3,0,2,1,0,0,3,0,2,6,0,0,4,2,0,2,2,0,0,0,0,0,39,0,0,0,10,0,2,0,0,7,1,4,0,0,4,2,0,2,0
59,683737.0,0.012724082744702296,145.0,126.0,0.0,0.0,0.0,2.0,2.0,9.0,22.0,19.0,54.0,97.0,56.0,10.0,37,0,9,0,4,10,12,2,0,10,0,11,6,4,1,4,1,2,3,0,6,0,0,14,4,6,2,4,2,0,6,2,2,25,0,6,0,22,2,0,2,10,4,2,4,6,0,10,6,6,2,0
60,517127.0,0.010185870253164558,167.0,105.0,7.0,0.0,0.0,0.0,7.0,12.0,15.0,18.0,63.0,93.0,61.0,10.0,27,0,22,0,3,0,11,4,0,9,0,13,3,4,2,0,0,8,0,0,9,0,2,10,4,3,3,3,1,35,19,0,0,33,0,0,0,11,0,3,11,2,8,1,3,3,2,1,3,0,0,3
61,522759.0,0.0118234931773879,115.0,86.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,14.0,47.0,74.0,37.0,6.0,31,0,2,0,2,2,8,0,2,8,0,4,4,0,2,4,0,3,0,0,4,0,0,10,3,2,4,10,1,4,0,1,6,22,2,2,0,16,4,2,0,10,4,0,0,4,0,8,8,0,2,0
62,597437.0,0.01476812217001282,126.0,75.0,2.0,0.0,0.0,0.0,0.0,12.0,15.0,17.0,37.0,60.0,51.0,11.0,25,0,5,0,0,1,11,2,2,4,0,6,5,0,2,0,1,0,4,2,2,0,6,13,3,2,4,7,3,0,4,1,10,19,4,0,4,29,0,0,0,2,0,0,0,9,0,5,1,0,5,0
63,515544.0,0.011643570977918,20.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,10.0,10.0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,2,2,0,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0
64,751531.0,0.016399690415913163,25.0,61.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,25.0,38.0,14.0,0.0,12,1,1,1,2,4,4,1,0,2,0,0,0,2,0,1,0,1,0,0,0,1,1,5,0,2,4,1,1,0,0,0,1,2,0,4,2,10,0,0,0,7,1,0,0,9,0,4,1,1,0,0
65,513864.0,0.010610433333333336,133.0,111.0,8.0,0.0,0.0,1.0,0.0,3.0,9.0,16.0,73.0,99.0,48.0,3.0,43,4,15,0,2,3,3,3,3,34,3,17,0,5,3,3,0,0,6,0,1,4,1,1,3,2,2,0,0,0,0,6,0,27,0,3,0,1,4,2,0,7,12,2,2,0,0,4,6,0,15,0
