,name,id,price,alias,type,category,rating,zip,latitude,longitude,labels_km,centroid_latitude,centroid_longitude,distance_centroid
14,Let's Eat!,x5E7HLv9HBcL6WR7zIUTMg,1.0,lets-eat-los-angeles,salad,salad,4.0,91342,34.3015,-118.443,48,34.30643088235294,-118.43566176470588,0.008841
15,Saborcitos Latinos,xvD5_h7j5130fpB1RP44Ag,2.0,saborcitos-latinos-san-fernando-2,mexican,mexican,4.5,91340,34.2958,-118.42399999999999,48,34.30643088235294,-118.43566176470588,0.01578
16,Big Pop's BBQ and Grill,JTvBTaEmLxrKEnrDhXXfyw,2.0,big-pops-bbq-and-grill-pacoima,bbq,bbq,4.0,91331,34.2648,-118.402,25,34.277959375,-118.410546875,0.015691
17,Chop Shop Butcher & Kitchen,-mXvgDp2_SGf1wMQack0HQ,2.0,chop-shop-butcher-and-kitchen-granada-hills-4,butcher,butcher,4.5,91344,34.2728,-118.50200000000001,46,34.26364513274336,-118.50138053097345,0.009176
18,Las Llamas Pollos,d1UyXgpteZxgBvm1y-gx9w,2.0,las-llamas-pollos-sylmar,peruvian,peruvian,4.0,91342,34.3133,-118.43700000000001,48,34.30643088235294,-118.43566176470588,0.006998
19,Agave Bar and Grill,hZpEgmFqJNFGlydDRnd1Ig,2.0,agave-bar-and-grill-sunland,tradamerican,tradamerican,3.5,91040,34.2668,-118.334,35,34.259617142857145,-118.31491428571428,0.020393
20,Tender Grill Cafe,waEMbyiFqesUHTfZc3lAlw,1.0,tender-grill-cafe-san-fernando,mediterranean,mediterranean,4.5,91340,34.2822,-118.439,83,34.2834992,-118.442816,0.004031
21,The Back Door Bakery & Cafe,UV5EtN4OzrzUGJE2TVfkpw,2.0,the-back-door-bakery-and-cafe-sunland-2,coffee,coffee,4.0,91040,34.2598,-118.315,35,34.259617142857145,-118.31491428571428,0.000202
22,Asumare,-fE6kPlNYizGp3-YpdchaA,2.0,asumare-san-fernando,peruvian,peruvian,4.5,91340,34.2806,-118.439,83,34.2834992,-118.442816,0.004792
23,Burgerim,0lWq6ovyHUK0fnKgS18Ynw,2.0,burgerim-los-angeles-5,newamerican,newamerican,3.5,91342,34.3084,-118.434,48,34.30643088235294,-118.43566176470588,0.002577
24,Caruso's Italian kitchen,7Q2OnF2IQWR32G1qVYup3Q,2.0,carusos-italian-kitchen-sylmar,pizza,pizza,3.5,91342,34.3094,-118.43299999999999,48,34.30643088235294,-118.43566176470588,0.003988
